"","OBS","MOD","MONTH_NUM","METHOD","KF","Month.ordered"
"1138",17.31,17.8611534833334,"DIC","RF",3,"DIC"
"1139",22.765,20.17843725,"DIC","RF",3,"DIC"
"1140",27.26,26.9140384166667,"DIC","RF",3,"DIC"
"1141",22.94,21.6825181994699,"JAN","IDW",4,"JAN"
"1142",26.45,26.2089985060947,"JAN","IDW",4,"JAN"
"1143",26.9666666666667,26.6244322086223,"JAN","IDW",4,"JAN"
"1144",24.2533333333333,22.1320584646929,"JAN","IDW",4,"JAN"
"1145",18.2166666666667,17.1964699364454,"JAN","IDW",4,"JAN"
"1146",20.2666666666667,22.5905196929207,"JAN","IDW",4,"JAN"
"1147",24.9,20.7166660327804,"JAN","IDW",4,"JAN"
"1148",23.1466666666667,21.8821485495629,"FEB","IDW",4,"FEB"
"1149",27.3666666666667,26.3073890119186,"FEB","IDW",4,"FEB"
"1150",19.4633333333333,27.2610066373172,"FEB","IDW",4,"FEB"
"1151",24.05,22.2400131408095,"FEB","IDW",4,"FEB"
"1152",17.2933333333333,17.0217153862109,"FEB","IDW",4,"FEB"
"1153",20.75,23.1183756519393,"FEB","IDW",4,"FEB"
"1154",25.45,20.9728402296416,"FEB","IDW",4,"FEB"
"1155",23.9633333333333,22.6794923143851,"MAR","IDW",4,"MAR"
"1156",28.3533333333333,27.7466439632003,"MAR","IDW",4,"MAR"
"1157",28.62,28.6004607384333,"MAR","IDW",4,"MAR"
"1158",24.7566666666667,22.9686553376742,"MAR","IDW",4,"MAR"
"1159",19.28,17.9751479397686,"MAR","IDW",4,"MAR"
"1160",21.3,23.7684402566178,"MAR","IDW",4,"MAR"
"1161",25.85,21.5215286557861,"MAR","IDW",4,"MAR"
"1162",24.5266666666667,23.2053923357326,"APR","IDW",4,"APR"
"1163",28.94,28.3778285678998,"APR","IDW",4,"APR"
"1164",29.14,30.3946090508026,"APR","IDW",4,"APR"
"1165",25.0233333333333,23.5332548388661,"APR","IDW",4,"APR"
"1166",19.9733333333333,18.7919288761636,"APR","IDW",4,"APR"
"1167",21.45,23.8470801742608,"APR","IDW",4,"APR"
"1168",25.85,21.8298607830641,"APR","IDW",4,"APR"
"1169",24.8033333333333,23.482233327721,"MAY","IDW",4,"MAY"
"1170",28.26,27.5385304739767,"MAY","IDW",4,"MAY"
"1171",28.48,27.4083148483596,"MAY","IDW",4,"MAY"
"1172",25.9266666666667,23.8109421590751,"MAY","IDW",4,"MAY"
"1173",20.5933333333333,19.6458020622906,"MAY","IDW",4,"MAY"
"1174",20.9333333333333,23.3063308469984,"MAY","IDW",4,"MAY"
"1175",25.65,21.3005123532187,"MAY","IDW",4,"MAY"
"1176",24.6933333333333,23.3473748064241,"JUN","IDW",4,"JUN"
"1177",26.99,26.1035617758746,"JUN","IDW",4,"JUN"
"1178",27.6466666666667,26.7598103248997,"JUN","IDW",4,"JUN"
"1179",25.5733333333333,23.8745986145156,"JUN","IDW",4,"JUN"
"1180",20.1166666666667,19.2106458312388,"JUN","IDW",4,"JUN"
"1181",20.6666666666667,22.7626022901505,"JUN","IDW",4,"JUN"
"1182",25.3833333333333,21.0347943855126,"JUN","IDW",4,"JUN"
"1183",24.4266666666667,23.1995659756778,"JUL","IDW",4,"JUL"
"1184",27.24,26.6380694781527,"JUL","IDW",4,"JUL"
