X	Y	SLOPE	ALOS_FILL	ASPECT	TOPOGRAPHIC	LS_FACTOR	DIRECT_INSO	CONVEXITY	WIND_EXPOSI	BUFFER	TEMP	COAST	PREC	MONTH
567584.6406	1116867.735	0.008	19.40	1.23	14.20	0.11	6.48	38.32	0.92	590.29	24.76	25807.00	173.00	MAR
458023.4529	1146322.092	0.106	499.75	2.73	11.06	2.95	6.46	39.93	1.04	454.81	23.96	72201.00	107.57	MAR
516455.0546	1081785.443	0.088	1088.26	2.20	14.43	4.25	6.88	49.39	0.82	415.20	19.73	57245.00	39.54	MAR
386699.9804	1102234.538	0.000	0.00	1.65	17.75	0.00	6.48	22.61	0.88	768.30	28.62	24166.00	12.93	MAR
332201.8504	1172516.583	0.006	82.74	5.46	15.21	0.10	6.51	42.93	0.97	323.75	28.72	21587.00	4.62	MAR
604151.4948	1105894.194	0.018	56.45	4.60	10.82	0.28	6.47	18.06	1.10	224.98	25.52	2828.00	197.26	MAR
490848.0357	1039388.483	0.000	16.15	2.47	14.05	0.00	6.50	31.60	0.91	530.53	28.27	8544.00	60.63	MAR
443343.5606	1096571.872	0.013	252.63	4.90	10.73	0.12	6.59	47.14	0.98	400.66	28.77	25060.00	20.74	MAR
525562.8992	1129716.256	0.023	229.74	0.36	12.87	0.44	6.54	42.78	1.02	495.62	23.74	47854.00	184.80	MAR
448884.4883	1137117.411	0.066	701.70	5.18	12.95	2.18	6.63	44.19	0.99	535.01	20.24	59059.00	53.92	MAR
461685.8481	1157378.035	0.010	103.24	6.16	13.86	0.16	6.51	39.03	0.93	667.93	25.43	83726.00	76.82	MAR
408734.6134	1142729.245	0.065	1454.88	4.14	9.85	1.22	7.17	50.20	1.25	349.18	19.08	53000.00	53.32	MAR
562155.1161	1087364.049	0.040	1171.39	2.83	9.77	0.59	6.98	48.60	1.12	428.79	19.09	47170.00	86.19	MAR
341096.2485	1122688.224	0.008	123.21	3.78	16.05	0.15	6.55	37.30	0.91	61.59	28.93	31765.00	24.35	MAR
520103.6723	1096533.418	0.171	1830.46	2.52	10.52	5.38	7.43	52.79	1.10	221.47	16.23	72139.00	70.51	MAR
452501.2122	1111305.437	0.011	1013.20	1.73	14.06	0.16	6.92	45.85	1.03	744.03	22.27	41110.00	8.52	MAR
558647.2275	989663.7056	0.015	49.42	4.66	13.31	0.43	6.50	38.32	0.93	485.25	28.19	23000.00	91.61	MAR
514624.5197	1087314.461	0.035	1309.28	2.28	12.23	0.72	7.09	47.95	0.98	763.08	18.32	62169.00	44.93	MAR
