"","num.month","DELTA.MAE.idw3","DELTA.RMSE.idw3","DELTA.R2.idw3","DELTA.MAE.cubist","DELTA.RMSE.cubist","DELTA.R2.cubist","DELTA.MAE.ok","DELTA.RMSE.ok","DELTA.R2.ok","DELTA.MAE.ked","DELTA.RMSE.ked","DELTA.R2.ked","DELTA.MAE.rf","DELTA.RMSE.rf","DELTA.R2.rf","R2.RF.train","error.RF.train","num.kf"
"29",5,1.10625277059604,1.34846987873552,0.8668,0.741017781575521,1.08751008898379,0.9232,1.4541370128757,1.96986103788344,0.7855,0.580932571686806,0.923815434612634,0.9393,0.758740733333335,1.0017547057166,0.9416,0.855022205476682,2.61080068955565,3
"30",6,1.10514725358969,1.35045062804868,0.8639,0.716745880126953,1.1186832751838,0.9071,1.39080040176773,1.86325153418521,0.7963,0.697067611434235,1.04683073461283,0.8971,0.726760266666672,1.10884198474353,0.8987,0.886441329121927,1.92351024396202,3
"31",7,0.959279409327085,1.27853667593106,0.8898,0.746438939412435,1.15430410198264,0.903,1.1975101482833,1.8039957210853,0.8214,0.683283430642191,1.01850508034604,0.9372,0.845307015777765,1.21026757420792,0.9031,0.865606726018189,2.42528583221241,3
"32",8,0.944251090262913,1.27530163606906,0.8941,0.494899648030599,0.620312348266607,0.9842,1.4050729153972,2.16374254181212,0.7551,3.19050766486287,5.26757726122612,0.1577,0.666289177777786,0.74517631454379,0.9699,0.809906241668696,3.32815215386518,3
"33",9,1.78057736459318,2.54410403744211,0.7408,1.73757988484701,2.72670491414046,0.6895,1.96481095133618,2.73470975390338,0.6501,1.70390620764273,2.82684759224401,0.7042,1.72663295555554,2.65819700144273,0.7348,0.865787973822104,2.2516433492018,3
"34",10,1.03258432596005,1.29265527344648,0.8702,0.719147689819335,1.06611657477216,0.9115,1.3079183666868,1.92714261475344,0.7771,0.553963171212511,0.969219020102735,0.9099,0.648678488888904,0.963493023838812,0.9289,0.875870516020553,2.03360850090672,3
"35",11,1.1265121971844,1.41927060521324,0.8636,0.80063916015625,1.17480284355945,0.9092,1.41755360624867,1.98193569321326,0.7964,0.714327327087831,1.1118394159137,0.9031,0.701558977777766,1.0808829245001,0.9173,0.878506146467878,2.10320449296938,3
"36",12,1.3573517904005,1.6122267572641,0.8568,0.83276644897461,1.26684766857894,0.9043,1.43344882959738,1.96623520555888,0.8291,0.814010212038934,1.11816754719281,0.9142,0.962736863333325,1.26768790058455,0.9035,0.882386016775271,2.27616091829788,3
"37",1,1.64133947783072,2.07700509073606,0.6587,0.59533706665039,0.635767031674973,0.9725,1.45147119350069,1.8661658148109,0.6859,0.818037416724393,0.990635238867668,0.8966,0.613385552380948,0.727622237340137,0.953,0.867577313117647,2.76964900581258,4
"38",2,2.7212299006352,3.63571128335985,0.1313,1.72761738731748,3.34595413514243,0.313,2.30530633441074,3.41845538388271,0.3113,2.03792259746326,3.21974661491478,0.3458,1.60310107936509,2.59009513076509,0.496,0.859010435895195,3.10582024406122,4
"39",3,1.68569209152907,2.12956019692788,0.6978,0.857522394089471,0.984321096180827,0.9412,1.49533579920497,1.88185547003047,0.721,0.83608222722,0.975977054667344,0.9164,0.759524347619046,0.782211905283689,0.9516,0.843126735543824,3.54940762379409,4
"40",4,1.74667959381007,2.04098749010952,0.7222,0.963735518682571,1.00281057779375,0.9438,1.51667099158053,1.85528535984928,0.7652,1.09463411820232,1.22234311557786,0.9253,0.732171174603176,0.749645433370911,0.9486,0.82312345185384,3.8286760537806,4
"41",5,1.84285651747954,2.18231850029299,0.6203,0.622177298409598,0.695246418032958,0.9582,1.3248938513578,1.80128664710202,0.6263,0.71687828935223,0.821258199233395,0.9433,0.773925571428572,0.976559238942083,0.9264,0.827485658830812,3.11537840198442,4
"42",6,1.73835474547882,2.08371926303258,0.6054,0.683339440482003,0.747133853844834,0.9334,1.18417329935746,1.62620391089348,0.6446,0.655570087104417,0.811029750263767,0.9154,0.578775885714286,0.820648984297507,0.9329,0.865270578351556,2.30701859503993,4
"43",7,1.65208396299543,2.01350175630009,0.6461,0.564521517072405,0.651122674959025,0.9545,1.0912509414431,1.56631911739939,0.6783,0.58583546651205,0.755128253246458,0.93,0.627664405396844,0.855712899153933,0.9276,0.854437485980387,2.6553662273254,4
"44",8,1.43427842588854,1.88346971453871,0.6573,0.543982682001023,0.619758509902855,0.9599,1.25406119995893,1.67180227308223,0.6508,1.09219725081601,1.66610568719497,0.7587,0.413138111111111,0.473592113076075,0.9766,0.787358092326064,3.76559086294295,4
"45",9,1.60775300351213,2.04603432221107,0.5858,0.804483998616536,0.98250794184994,0.9285,1.19479853131312,1.6451059798078,0.6886,0.588348695456244,0.74849917459983,0.9444,0.446972428571442,0.492973335763647,0.9811,0.827853222493897,3.14997362676951,4
"46",10,1.64028907105809,2.09352933193695,0.5489,0.632744921729678,0.665425961685369,0.9407,1.02065615740279,1.52196755459572,0.6603,0.530877867389556,0.669908677866232,0.937,0.495949873015859,0.573916634030493,0.9648,0.8583928941496,2.34900127470248,4
"47",11,1.80956503665109,2.19475647842807,0.588,0.643235121227446,0.678280338078167,0.9506,1.25933891718539,1.7613651722533,0.6075,0.697804725152387,0.872950026486068,0.9123,0.69580963492064,0.881343644610304,0.9312,0.870668207994979,2.2608999985631,4
"48",12,1.84048591979571,2.22285715831176,0.6363,0.559129823957171,0.609006232011647,0.9666,1.57084244661157,1.87401684307217,0.6705,0.974853400202319,1.07034610495211,0.8789,0.732723290476179,0.964443670199204,0.919,0.872660497536995,2.5085476351386,4
"49",1,2.29464847243018,2.76492168964392,0.1455,0.524060869216919,0.727149546218237,0.915,1.17601268916104,1.47426872659684,0.6887,0.793091045636199,0.981596831595639,0.8624,1.17012485138889,1.43295726522508,0.7253,0.880810213019318,2.47878601502086,5
"50",2,2.46564547056363,2.98564978989336,0.1481,0.534071534474691,0.833500972188584,0.9068,1.31210956383677,1.6884992217648,0.657,1.35336342994334,2.09776440925432,0.4631,1.25369693055555,1.60220915424699,0.7594,0.82131759847942,3.88358214644264,5
"51",3,2.42623719866108,2.94236998798605,0.1284,0.540843884150187,0.809888890004818,0.9117,1.21701512654582,1.52082499105889,0.6997,0.718788101321844,0.901679091242392,0.8818,1.38738594027777,1.65312336970655,0.662,0.855851699591355,3.24475319040983,5
"52",4,2.47820710705579,2.94051185705315,0.0884,0.531240854263306,0.81326558291889,0.8936,1.41159145997934,1.62976643712128,0.6623,0.8635631124204,1.01601930306629,0.8313,1.31410190277782,1.53680670534673,0.628,0.843567488646289,3.39872305440774,5
"53",5,2.11676694508147,2.50268632781169,0.1235,0.59587293624878,0.801192262813117,0.8557,1.14586909167134,1.31606869608322,0.6977,0.531311496830058,0.688867688008144,0.8856,1.08526072222224,1.20686947195867,0.7153,0.841876973299266,2.88366720592622,5
"54",6,1.86730605168549,2.28066096751097,0.2222,0.264856278101604,0.313612401537605,0.9759,1.05253567863205,1.20069140602132,0.7813,0.387291365962472,0.440869657288954,0.9513,0.737756005555559,0.947659370803903,0.8331,0.864496825004762,2.340341565357,5
"55",7,1.94667222952805,2.35366073131343,0.1688,0.334175675710042,0.385393023043663,0.9643,1.164250010028,1.35802518788162,0.707,0.508685323917754,0.539420781408671,0.9279,0.872046641527788,1.03349328455926,0.7507,0.874377662306209,2.31351544064886,5
"56",8,1.87127407763617,2.22026498467541,0.1886,0.256199814478556,0.375319816898282,0.9612,1.02143598961424,1.14067963327455,0.7652,0.722471885512146,0.971985427053851,0.7712,0.775389013888897,0.902524327062852,0.8299,0.810889939637056,3.38426122787671,5
"57",9,1.8544233600395,2.21993729322804,0.23,0.375066118240357,0.407570699576081,0.9626,1.0260623700096,1.10410838392596,0.7936,0.367765107772968,0.419827971688193,0.9509,0.7441620138889,0.944880793941035,0.7887,0.855310641497953,2.65782723629607,5
"58",10,1.70233832047318,2.10710701656278,0.2862,0.356848802566528,0.418940187954201,0.9633,0.869308407439228,1.01686318395681,0.8654,0.34902002479869,0.384765269790985,0.9569,0.598005847222242,0.763676709248547,0.879,0.872156030192202,2.13768672052611,5
